Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,21,4,2,0,53,33,4.12,94,272,0.345588235
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,12,4,1,0,18,36,7.2,64,235,0.272340426
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,1,5,0,16,15,1.25,89,153,0.581699346
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,2,4,0,0,0,0,n/a,6,10,0.6
org.jfree.chart.renderer.xy.DeviationRenderer,20,4,4,1,51,28,2.33,123,264,0.465909091
org.jfree.chart.renderer.xy.DeviationRenderer.State,4,4,0,0,3,1,1,16,25,0.64
org.jfree.chart.renderer.xy.DeviationStepRenderer,17,5,1,0,48,31,6.2,74,234,0.316239316
org.jfree.chart.renderer.xy.GradientXYBarPainter,9,1,1,0,33,31,3.44,90,293,0.307167235
org.jfree.chart.renderer.xy.HighLowRenderer,21,3,2,0,53,48,2.82,170,386,0.440414508
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,16,3,2,0,43,20,2.5,89,214,0.41588785
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,4,3,1,0,5,2,1,39,62,0.629032258
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,24,4,4,0,86,55,3.44,190,457,0.415754923
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,3,3,4,0,11,8,1,47,81,0.580246914
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,21,4,2,0,47,44,3.67,134,436,0.30733945
org.jfree.chart.renderer.xy.StackedXYBarRenderer,24,4,3,0,56,43,4.3,116,320,0.3625
org.jfree.chart.renderer.xy.StandardXYBarPainter,8,1,2,0,24,21,3.5,61,156,0.391025641
org.jfree.chart.renderer.xy.StandardXYItemRenderer,33,3,1,1,117,91,2.68,356,767,0.464146023
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,3,3,2,0,6,5,1,38,58,0.655172414
org.jfree.chart.renderer.xy.VectorRenderer,18,3,2,0,40,30,5,73,262,0.278625954
org.jfree.chart.renderer.xy.WindItemRenderer,14,3,1,0,25,3,1,38,105,0.361904762
org.jfree.chart.renderer.xy.XYAreaRenderer,30,3,3,1,102,68,3.09,217,558,0.388888889
