Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.ChartColor,1,2,1,0,3,2,1,44,111,0.396396396
org.jfree.chart.ChartElement,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.ChartFactory,121,1,1,0,176,131,2.62,834,1741,0.479035037
org.jfree.chart.ChartHints,3,1,0,0,2,1,1,16,22,0.727272727
org.jfree.chart.ChartHints.Key,1,2,1,0,5,5,2.5,17,34,0.5
org.jfree.chart.ChartRenderingInfo,41,1,1,0,28,21,1.62,99,184,0.538043478
org.jfree.chart.ChartTheme,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.ChartTransferable,2,1,1,0,18,13,1.86,95,187,0.50802139
org.jfree.chart.ChartUtils,14,1,9,0,58,32,1.1,358,573,0.62478185
org.jfree.chart.Drawable,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.JFreeChart,120,1,1,0,194,157,2.12,682,1401,0.486795146
org.jfree.chart.StandardChartTheme,57,1,4,1,238,200,2.13,662,1547,0.427925016
org.jfree.chart.annotations.AbstractAnnotation,20,1,1,3,22,15,1.36,95,152,0.625
org.jfree.chart.annotations.AbstractXYAnnotation,18,2,4,9,16,16,2,74,141,0.524822695
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.annotations.CategoryLineAnnotation,19,2,1,0,50,29,1.53,157,329,0.477203647
org.jfree.chart.annotations.CategoryPointerAnnotation,18,4,1,0,69,35,1.52,208,418,0.497607656
org.jfree.chart.annotations.CategoryTextAnnotation,21,3,1,1,41,19,1.73,88,195,0.451282051
org.jfree.chart.annotations.TextAnnotation,9,2,6,1,32,25,1.47,141,263,0.536121673
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.annotations.XYBoxAnnotation,13,3,1,0,44,30,1.88,131,285,0.459649123
org.jfree.chart.annotations.XYDataImageAnnotation,13,3,2,0,38,28,1.75,141,282,0.5
org.jfree.chart.annotations.XYDrawableAnnotation,12,3,1,0,33,21,1.91,93,220,0.422727273
org.jfree.chart.annotations.XYImageAnnotation,12,3,1,0,39,22,1.83,102,216,0.472222222
org.jfree.chart.annotations.XYLineAnnotation,15,3,1,0,44,27,1.93,116,271,0.42804428
org.jfree.chart.annotations.XYPointerAnnotation,15,4,1,0,77,37,1.61,207,432,0.479166667
org.jfree.chart.annotations.XYPolygonAnnotation,15,3,1,0,49,29,2.23,115,261,0.440613027
org.jfree.chart.annotations.XYShapeAnnotation,14,3,1,0,48,21,2.33,84,211,0.398104265
org.jfree.chart.annotations.XYTextAnnotation,23,3,1,1,71,49,1.58,266,521,0.510556622
org.jfree.chart.annotations.XYTitleAnnotation,25,3,1,0,56,36,2.4,111,298,0.372483221
org.jfree.chart.api.HorizontalAlignment,12,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.chart.api.Layer,8,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.api.LengthAdjustmentType,8,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.chart.api.PublicCloneable,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.api.RectangleAlignment,6,n/a,3,n/a,14,14,14,21,98,0.214285714
org.jfree.chart.api.RectangleAnchor,29,n/a,3,n/a,16,22,11,30,120,0.25
org.jfree.chart.api.RectangleEdge,100,n/a,3,n/a,10,14,3.5,38,78,0.487179487
org.jfree.chart.api.RectangleInsets,65,1,1,0,38,57,1.97,211,452,0.466814159
org.jfree.chart.api.Rotation,5,n/a,3,n/a,4,2,1,21,32,0.65625
org.jfree.chart.api.SortOrder,9,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.api.TableOrder,7,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.api.UnitType,7,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.api.VerticalAlignment,12,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.chart.api.XYCoordinateType,1,n/a,2,n/a,2,0,n/a,12,17,0.705882353
org.jfree.chart.axis.Axis,60,1,7,2,160,153,2.07,710,1457,0.487302677
org.jfree.chart.axis.AxisCollection,5,1,1,0,9,11,1.83,43,87,0.494252874
org.jfree.chart.axis.AxisLabelLocation,2,n/a,2,n/a,2,0,n/a,6,11,0.545454545
org.jfree.chart.axis.AxisLocation,14,n/a,3,n/a,6,7,3.5,20,44,0.454545455
org.jfree.chart.axis.AxisSpace,19,1,1,0,34,43,2.26,118,301,0.392026578
org.jfree.chart.axis.AxisState,24,1,3,0,16,18,1.38,74,135,0.548148148
org.jfree.chart.axis.CategoryAnchor,7,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.chart.axis.CategoryAxis,76,2,4,2,169,134,2.53,535,1225,0.436734694
org.jfree.chart.axis.CategoryLabelPosition,9,1,6,0,15,20,1.67,95,188,0.505319149
org.jfree.chart.axis.CategoryLabelPositions,10,1,2,0,18,21,1.91,134,324,0.413580247
org.jfree.chart.axis.CategoryLabelWidthType,5,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.axis.CategoryTick,6,2,3,0,12,11,1.83,42,92,0.456521739
org.jfree.chart.axis.CompassFormat,2,3,2,0,12,9,1.29,56,99,0.565656566
org.jfree.chart.axis.CyclicNumberAxis,23,4,3,0,105,120,3.53,343,962,0.356548857
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,3,4,0,0,2,1,1,17,26,0.653846154
org.jfree.chart.axis.DateAxis,30,3,1,1,168,153,3,498,1487,0.334902488
org.jfree.chart.axis.DateAxis.DefaultTimeline,2,1,7,0,9,11,1.38,67,110,0.609090909
org.jfree.chart.axis.DateTick,7,3,1,0,11,8,1.6,42,79,0.53164557
org.jfree.chart.axis.DateTickMarkPosition,3,n/a,2,n/a,2,0,n/a,7,12,0.583333333
org.jfree.chart.axis.DateTickUnit,7,2,4,0,35,32,1.88,142,274,0.518248175
org.jfree.chart.axis.DateTickUnitType,4,n/a,3,n/a,4,2,1,21,37,0.567567568
org.jfree.chart.axis.ExtendedCategoryAxis,11,3,1,0,35,20,1.82,89,177,0.502824859
org.jfree.chart.axis.LogAxis,22,3,1,0,129,97,2.42,368,906,0.406181015
org.jfree.chart.axis.LogTick,5,3,1,0,3,2,1,19,30,0.633333333
org.jfree.chart.axis.LogarithmicAxis,13,4,1,1,70,114,4.07,418,902,0.463414634
org.jfree.chart.axis.MarkerAxisBand,8,1,1,0,43,18,2.57,63,186,0.338709677
org.jfree.chart.axis.ModuloAxis,7,4,1,0,38,40,2.35,152,358,0.424581006
org.jfree.chart.axis.MonthDateFormat,2,3,2,0,28,19,1.9,97,181,0.535911602
org.jfree.chart.axis.NumberAxis,76,3,9,4,123,112,2.95,394,965,0.408290155
org.jfree.chart.axis.NumberTick,11,3,1,1,6,3,1,30,47,0.638297872
org.jfree.chart.axis.NumberTickUnit,17,2,1,0,17,12,1.71,49,100,0.49
org.jfree.chart.axis.NumberTickUnitSource,5,1,1,0,24,39,3.25,22,174,0.126436782
org.jfree.chart.axis.PeriodAxis,24,3,1,0,155,115,2.5,394,1024,0.384765625
org.jfree.chart.axis.PeriodAxisLabelInfo,8,1,8,0,36,26,1.62,127,266,0.477443609
org.jfree.chart.axis.QuarterDateFormat,2,3,2,0,17,12,1.71,61,130,0.469230769
org.jfree.chart.axis.StandardTickUnitSource,4,1,1,0,13,7,1.17,45,81,0.555555556
org.jfree.chart.axis.SubCategoryAxis,17,3,1,0,69,40,2.86,130,344,0.377906977
org.jfree.chart.axis.SymbolAxis,20,4,2,0,87,69,3.29,227,619,0.366720517
org.jfree.chart.axis.Tick,15,1,4,2,11,14,1.75,57,117,0.487179487
org.jfree.chart.axis.TickType,12,n/a,2,n/a,2,0,n/a,5,9,0.555555556
org.jfree.chart.axis.TickUnit,15,1,3,2,10,16,2,68,130,0.523076923
org.jfree.chart.axis.TickUnitSource,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.axis.TickUnits,5,1,1,0,22,14,1.56,69,135,0.511111111
org.jfree.chart.axis.Timeline,n/a,n/a,n/a,n/a,7,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.axis.ValueAxis,137,2,7,4,163,163,2.36,717,1462,0.490424077
org.jfree.chart.axis.ValueTick,15,2,2,3,8,9,1.8,46,86,0.534883721
org.jfree.chart.block.AbstractBlock,30,1,3,6,77,55,1.45,291,536,0.542910448
org.jfree.chart.block.Arrangement,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.block.Block,n/a,n/a,n/a,n/a,7,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.block.BlockBorder,9,1,1,0,31,19,1.73,78,166,0.469879518
org.jfree.chart.block.BlockContainer,25,2,1,1,48,26,1.73,93,207,0.449275362
org.jfree.chart.block.BlockFrame,n/a,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.block.BlockParams,3,1,3,0,7,7,1,56,85,0.658823529
org.jfree.chart.block.BlockResult,7,1,1,0,3,3,1,18,31,0.580645161
org.jfree.chart.block.BorderArrangement,12,1,1,0,40,71,6.45,95,469,0.202558635
org.jfree.chart.block.CenterArrangement,8,1,3,0,33,31,2.38,126,260,0.484615385
org.jfree.chart.block.ColorBlock,8,2,2,0,31,12,1.33,68,129,0.527131783
org.jfree.chart.block.ColumnArrangement,12,1,3,0,38,42,3.82,115,313,0.367412141
org.jfree.chart.block.EmptyBlock,10,2,2,0,16,5,1,43,71,0.605633803
org.jfree.chart.block.EntityBlockParams,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.block.EntityBlockResult,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
