Class,Jm,CBO,LCOM,NOC,RFC,WMC,CLOC/LOC,JTA
org.jfree.chart.event.ChartProgressEvent,100.00%,5,3,0,9,7,0.584415584,0
org.jfree.chart.event.ChartProgressEventType,0.00%,2,2,n/a,2,0,0.555555556,0
org.jfree.chart.event.MarkerChangeEvent,100.00%,11,1,0,3,2,0.653846154,0
org.jfree.chart.event.PlotChangeEvent,100.00%,14,1,0,3,2,0.62962963,0
org.jfree.chart.event.RendererChangeEvent,100.00%,12,2,0,5,4,0.647058824,0
org.jfree.chart.event.TitleChangeEvent,100.00%,9,1,0,3,2,0.583333333,0
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,100.00%,2,1,0,5,3,0.558139535,0
org.jfree.chart.imagemap.ImageMapUtils,100.00%,13,2,0,25,23,0.41025641,0
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,100.00%,5,1,0,4,2,0.538461538,0
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,100.00%,5,1,0,4,2,0.541666667,0
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,100.00%,5,1,0,3,2,0.583333333,0
org.jfree.chart.internal.Args,100.00%,239,5,0,7,10,0.576923077,0
org.jfree.chart.internal.ArrayUtils,100.00%,3,1,0,11,31,0.315789474,0
org.jfree.chart.internal.CloneUtils,100.00%,244,1,0,19,13,0.384615385,0
org.jfree.chart.internal.HashUtils,100.00%,55,2,0,19,19,0.60130719,0
org.jfree.chart.internal.LineUtils,100.00%,6,2,0,15,15,0.292035398,0
org.jfree.chart.internal.PaintUtils,100.00%,69,3,0,45,20,0.318471338,0
org.jfree.chart.internal.SerialUtils,100.00%,96,10,0,99,71,0.325217391,0
org.jfree.chart.internal.ShapeUtils,100.00%,31,16,0,72,46,0.431767338,0
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,100.00%,13,3,2,31,24,0.483333333,0
org.jfree.chart.labels.AbstractPieItemLabelGenerator,100.00%,9,1,2,23,20,0.441176471,0
org.jfree.chart.labels.AbstractXYItemLabelGenerator,100.00%,12,1,5,36,31,0.462962963,0
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,100.00%,10,1,0,17,7,0.505494505,0
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,100.00%,8,1,0,24,8,0.505050505,0
org.jfree.chart.labels.BubbleXYItemLabelGenerator,100.00%,9,1,0,31,19,0.471794872,0
org.jfree.chart.labels.CustomXYToolTipGenerator,100.00%,4,1,0,16,18,0.4453125,0
org.jfree.chart.labels.HighLowItemLabelGenerator,100.00%,10,2,0,31,21,0.376623377,0
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,100.00%,10,1,0,16,9,0.4125,0
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,83.33%,8,1,0,20,13,0.415841584,0
org.jfree.chart.labels.IntervalXYItemLabelGenerator,90.00%,7,2,0,39,21,0.413793103,0
org.jfree.chart.labels.IntervalXYToolTipGenerator,90.00%,6,2,0,39,21,0.422110553,0
org.jfree.chart.labels.ItemLabelAnchor,0.00%,10,2,n/a,2,0,0.517857143,0
org.jfree.chart.labels.ItemLabelPosition,88.89%,18,4,0,13,15,0.453846154,0
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,100.00%,7,1,0,30,19,0.391566265,0
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,85.71%,12,1,1,13,9,0.554347826,0
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,100.00%,9,1,0,14,10,0.509803922,0
org.jfree.chart.labels.StandardCategoryToolTipGenerator,83.33%,21,1,2,11,8,0.518987342,0
org.jfree.chart.labels.StandardCrosshairLabelGenerator,100.00%,4,1,0,16,11,0.46875,0
org.jfree.chart.labels.StandardFlowLabelGenerator,80.00%,7,1,0,16,7,0.452054795,0
org.jfree.chart.labels.StandardPieSectionLabelGenerator,91.67%,9,2,0,28,15,0.604395604,0
org.jfree.chart.labels.StandardPieToolTipGenerator,100.00%,7,1,0,13,7,0.643678161,0
org.jfree.chart.labels.StandardXYItemLabelGenerator,90.00%,7,1,0,19,12,0.606060606,0
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,100.00%,10,1,0,14,10,0.532110092,0
org.jfree.chart.labels.StandardXYToolTipGenerator,90.00%,19,2,2,20,12,0.601503759,0
org.jfree.chart.labels.StandardXYZToolTipGenerator,90.00%,9,1,0,30,18,0.465240642,0
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,100.00%,11,2,0,18,12,0.464285714,0
org.jfree.chart.legend.LegendGraphic,100.00%,16,1,0,87,77,0.505617978,0
org.jfree.chart.legend.LegendItem,98.28%,62,24,0,89,87,0.54515778,0
org.jfree.chart.legend.LegendItemBlockContainer,100.00%,10,2,0,22,11,0.540983607,0
org.jfree.chart.legend.LegendItemCollection,88.89%,30,1,0,19,12,0.515151515,0
org.jfree.chart.legend.LegendRenderingOrder,0.00%,0,2,n/a,2,0,0.555555556,0
org.jfree.chart.legend.LegendTitle,97.14%,38,2,0,124,64,0.431192661,0
org.jfree.chart.legend.PaintScaleLegend,100.00%,25,1,0,101,70,0.394648829,0
org.jfree.chart.plot.CategoryCrosshairState,100.00%,5,1,0,15,13,0.487394958,0
org.jfree.chart.plot.CategoryMarker,100.00%,10,2,0,18,15,0.542635659,0
org.jfree.chart.plot.CategoryPlot,99.11%,113,13,2,451,597,0.469082673,0
org.jfree.chart.plot.CenterTextMode,0.00%,2,2,n/a,2,0,0.545454545,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,100.00%,21,3,0,117,72,0.396396396,0
org.jfree.chart.plot.CombinedDomainXYPlot,100.00%,25,3,0,122,86,0.415335463,0
org.jfree.chart.plot.CombinedRangeCategoryPlot,100.00%,22,2,0,102,62,0.381578947,0
org.jfree.chart.plot.CombinedRangeXYPlot,100.00%,23,3,0,118,79,0.40651801,0
org.jfree.chart.plot.Crosshair,100.00%,11,1,0,67,57,0.553398058,0
org.jfree.chart.plot.CrosshairState,100.00%,35,1,2,22,27,0.6271777,0
org.jfree.chart.plot.DatasetRenderingOrder,0.00%,3,2,n/a,2,0,0.764705882,0
org.jfree.chart.plot.DefaultDrawingSupplier,100.00%,12,2,0,35,44,0.370731707,0
org.jfree.chart.plot.DialShape,0.00%,2,2,n/a,2,0,0.583333333,0
org.jfree.chart.plot.FastScatterPlot,100.00%,25,5,0,119,98,0.476769912,0
org.jfree.chart.plot.IntervalMarker,100.00%,10,3,0,19,17,0.526315789,0
org.jfree.chart.plot.Marker,100.00%,27,2,3,63,57,0.549450549,0
org.jfree.chart.plot.MeterInterval,100.00%,8,5,0,22,17,0.496644295,0
org.jfree.chart.plot.MeterPlot,100.00%,21,3,0,142,117,0.443317972,0
org.jfree.chart.plot.Plot,100.00%,102,8,13,136,154,0.511856092,0
org.jfree.chart.plot.PlotOrientation,50.00%,102,4,n/a,5,2,0.655172414,0
org.jfree.chart.plot.PlotRenderingInfo,93.33%,103,3,0,32,25,0.520930233,0
org.jfree.chart.plot.PlotState,100.00%,20,1,0,3,2,0.571428571,0
org.jfree.chart.plot.PolarAxisLocation,0.00%,1,2,n/a,2,0,0.523809524,0
