Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.entity.TitleEntity,26,5,109,2,536,3,2
org.jfree.chart.entity.XYAnnotationEntity,0,1,7,1,65,1,1
org.jfree.chart.entity.XYItemEntity,0,2,13,7,137,2,3
org.jfree.chart.event.AnnotationChangeEvent,26,3,109,7,536,3,4
org.jfree.chart.event.AxisChangeEvent,26,2,109,9,536,2,4
org.jfree.chart.event.ChartChangeEvent,26,3,109,33,536,3,5
org.jfree.chart.event.ChartChangeEventType,0,0,0,4,537,0,2
org.jfree.chart.event.ChartProgressEvent,26,3,109,3,536,3,3
org.jfree.chart.event.ChartProgressEventType,0,0,0,2,537,0,2
org.jfree.chart.event.MarkerChangeEvent,26,2,109,10,536,2,2
org.jfree.chart.event.PlotChangeEvent,26,2,109,13,536,2,6
org.jfree.chart.event.RendererChangeEvent,0,1,110,11,428,1,4
org.jfree.chart.event.TitleChangeEvent,26,2,109,8,536,2,4
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,0,2,17,0,0,1,0
org.jfree.chart.imagemap.ImageMapUtils,2,10,16,5,16,5,2
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,2,2,16,4,16,1,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,2,2,16,4,16,1,2
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,0,1,1,4,18,1,2
org.jfree.chart.internal.Args,0,0,0,239,825,0,39
org.jfree.chart.internal.ArrayUtils,0,1,1,2,236,0,2
org.jfree.chart.internal.CloneUtils,0,2,2,242,636,2,28
org.jfree.chart.internal.HashUtils,0,0,0,55,643,0,14
org.jfree.chart.internal.LineUtils,0,1,1,5,62,1,4
org.jfree.chart.internal.PaintUtils,0,1,1,68,572,0,15
org.jfree.chart.internal.SerialUtils,0,1,1,95,626,1,17
org.jfree.chart.internal.ShapeUtils,0,2,4,29,554,2,10
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,0,7,21,6,59,4,1
org.jfree.chart.labels.AbstractPieItemLabelGenerator,0,5,60,4,52,3,2
org.jfree.chart.labels.AbstractXYItemLabelGenerator,0,4,8,8,56,3,1
