Javadoc coverage metrics,Wed., 19 Oct. 2022 18:53:36 EDT,
Class,Jf,JLOC,Jm
org.jfree.chart.plot.FastScatterPlot,100.00%,410,100.00%
org.jfree.chart.plot.IntervalMarker,100.00%,80,100.00%
org.jfree.chart.plot.Marker,100.00%,300,100.00%
org.jfree.chart.plot.MeterInterval,100.00%,74,100.00%
org.jfree.chart.plot.MeterPlot,100.00%,470,100.00%
org.jfree.chart.plot.Plot,100.00%,608,100.00%
org.jfree.chart.plot.PlotOrientation,100.00%,19,50.00%
org.jfree.chart.plot.PlotRenderingInfo,100.00%,112,93.33%
org.jfree.chart.plot.PlotState,100.00%,12,100.00%
org.jfree.chart.plot.PolarAxisLocation,100.00%,11,0.00%
org.jfree.chart.plot.PolarPlot,100.00%,784,100.00%
org.jfree.chart.plot.RingPlot,100.00%,260,100.00%
org.jfree.chart.plot.SeriesRenderingOrder,100.00%,12,0.00%
org.jfree.chart.plot.SpiderWebPlot,100.00%,532,100.00%
org.jfree.chart.plot.ThermometerPlot,100.00%,621,100.00%
org.jfree.chart.plot.ValueMarker,100.00%,57,100.00%
org.jfree.chart.plot.WaferMapPlot,100.00%,100,100.00%
org.jfree.chart.plot.XYCrosshairState,100.00%,7,100.00%
org.jfree.chart.plot.XYPlot,100.00%,"2,126",98.31%
org.jfree.chart.plot.compass.ArrowNeedle,100.00%,42,100.00%
org.jfree.chart.plot.compass.CompassPlot,100.00%,287,100.00%
org.jfree.chart.plot.compass.LineNeedle,100.00%,32,100.00%
org.jfree.chart.plot.compass.LongNeedle,100.00%,35,100.00%
org.jfree.chart.plot.compass.MeterNeedle,100.00%,160,100.00%
org.jfree.chart.plot.compass.MiddlePinNeedle,100.00%,32,100.00%
org.jfree.chart.plot.compass.PinNeedle,100.00%,32,100.00%
org.jfree.chart.plot.compass.PlumNeedle,100.00%,32,100.00%
org.jfree.chart.plot.compass.PointerNeedle,100.00%,33,100.00%
org.jfree.chart.plot.compass.ShipNeedle,100.00%,33,100.00%
org.jfree.chart.plot.compass.WindNeedle,100.00%,28,100.00%
org.jfree.chart.plot.dial.AbstractDialLayer,100.00%,83,100.00%
org.jfree.chart.plot.dial.ArcDialFrame,100.00%,204,100.00%
org.jfree.chart.plot.dial.DialBackground,100.00%,107,100.00%
org.jfree.chart.plot.dial.DialCap,100.00%,139,100.00%
org.jfree.chart.plot.dial.DialLayerChangeEvent,100.00%,15,100.00%
org.jfree.chart.plot.dial.DialPlot,100.00%,336,100.00%
org.jfree.chart.plot.dial.DialPointer,100.00%,72,100.00%
