Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.chart.legend.PaintScaleLegend,236,234,598
org.jfree.chart.plot.CategoryCrosshairState,58,58,119
org.jfree.chart.plot.CategoryMarker,70,70,129
org.jfree.chart.plot.CategoryPlot,"2,071","2,000","4,415"
org.jfree.chart.plot.CenterTextMode,6,6,11
org.jfree.chart.plot.CombinedDomainCategoryPlot,220,201,555
org.jfree.chart.plot.CombinedDomainXYPlot,260,233,626
org.jfree.chart.plot.CombinedRangeCategoryPlot,174,155,456
org.jfree.chart.plot.CombinedRangeXYPlot,237,213,583
org.jfree.chart.plot.Crosshair,342,340,618
org.jfree.chart.plot.CrosshairState,180,179,287
org.jfree.chart.plot.DatasetRenderingOrder,13,13,17
org.jfree.chart.plot.DefaultDrawingSupplier,152,142,410
org.jfree.chart.plot.DialShape,7,7,12
org.jfree.chart.plot.FastScatterPlot,431,410,904
org.jfree.chart.plot.IntervalMarker,80,80,152
org.jfree.chart.plot.Marker,300,300,546
org.jfree.chart.plot.MeterInterval,74,74,149
org.jfree.chart.plot.MeterPlot,481,470,"1,085"
org.jfree.chart.plot.Plot,626,608,"1,223"
org.jfree.chart.plot.PlotOrientation,19,19,29
org.jfree.chart.plot.PlotRenderingInfo,112,112,215
org.jfree.chart.plot.PlotState,12,12,21
org.jfree.chart.plot.PolarAxisLocation,11,11,21
org.jfree.chart.plot.PolarPlot,818,784,"1,748"
org.jfree.chart.plot.RingPlot,267,260,569
org.jfree.chart.plot.SeriesRenderingOrder,12,12,16
org.jfree.chart.plot.SpiderWebPlot,567,532,"1,216"
org.jfree.chart.plot.ThermometerPlot,644,621,"1,367"
org.jfree.chart.plot.ValueMarker,57,57,96
org.jfree.chart.plot.WaferMapPlot,120,100,331
org.jfree.chart.plot.XYCrosshairState,7,7,11
org.jfree.chart.plot.XYPlot,"2,210","2,126","4,893"
org.jfree.chart.plot.compass.ArrowNeedle,42,42,111
org.jfree.chart.plot.compass.CompassPlot,300,287,707
org.jfree.chart.plot.compass.LineNeedle,33,32,67
org.jfree.chart.plot.compass.LongNeedle,38,35,118
org.jfree.chart.plot.compass.MeterNeedle,160,160,320
org.jfree.chart.plot.compass.MiddlePinNeedle,35,32,88
org.jfree.chart.plot.compass.PinNeedle,35,32,86
org.jfree.chart.plot.compass.PlumNeedle,33,32,77
org.jfree.chart.plot.compass.PointerNeedle,34,33,98
org.jfree.chart.plot.compass.ShipNeedle,34,33,76
org.jfree.chart.plot.compass.WindNeedle,29,28,68
org.jfree.chart.plot.dial.AbstractDialLayer,84,83,150
org.jfree.chart.plot.dial.ArcDialFrame,204,204,411
org.jfree.chart.plot.dial.DialBackground,107,107,190
org.jfree.chart.plot.dial.DialCap,139,139,253
org.jfree.chart.plot.dial.DialLayerChangeEvent,15,15,25
org.jfree.chart.plot.dial.DialPlot,344,336,695
org.jfree.chart.plot.dial.DialPointer,72,72,129
org.jfree.chart.plot.dial.DialPointer.Pin,79,79,160
org.jfree.chart.plot.dial.DialPointer.Pointer,97,97,218
org.jfree.chart.plot.dial.DialTextAnnotation,167,166,307
org.jfree.chart.plot.dial.DialValueIndicator,328,318,626
org.jfree.chart.plot.dial.StandardDialFrame,138,138,268
org.jfree.chart.plot.dial.StandardDialRange,175,175,340
org.jfree.chart.plot.dial.StandardDialScale,466,447,860
org.jfree.chart.plot.flow.FlowPlot,265,249,684
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,37,37,57
org.jfree.chart.plot.pie.MultiplePiePlot,185,169,499
org.jfree.chart.plot.pie.PieLabelDistributor,58,56,161
org.jfree.chart.plot.pie.PieLabelLinkStyle,7,7,12
org.jfree.chart.plot.pie.PieLabelRecord,104,104,215
org.jfree.chart.plot.pie.PiePlot,"1,333","1,286","2,845"
org.jfree.chart.plot.pie.PiePlotState,123,123,200
org.jfree.chart.renderer.AbstractRenderer,"1,504","1,440","2,698"
org.jfree.chart.renderer.AreaRendererEndType,12,12,17
org.jfree.chart.renderer.DefaultPolarItemRenderer,317,304,763
org.jfree.chart.renderer.GrayPaintScale,86,84,162
org.jfree.chart.renderer.LookupPaintScale,89,86,207
org.jfree.chart.renderer.LookupPaintScale.PaintItem,41,41,89
org.jfree.chart.renderer.NotOutlierException,9,9,14
org.jfree.chart.renderer.Outlier,82,82,150
org.jfree.chart.renderer.OutlierList,71,71,116
org.jfree.chart.renderer.OutlierListCollection,72,72,117
org.jfree.chart.renderer.RendererState,37,37,64
org.jfree.chart.renderer.RendererUtils,59,40,208
org.jfree.chart.renderer.WaferMapRenderer,110,101,293
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,582,571,"1,449"
org.jfree.chart.renderer.category.AreaRenderer,71,65,243
org.jfree.chart.renderer.category.BarRenderer,485,457,"1,126"
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,377,339,933
org.jfree.chart.renderer.category.CategoryItemRendererState,87,87,147
org.jfree.chart.renderer.category.CategoryStepRenderer,105,92,250
org.jfree.chart.renderer.category.CategoryStepRenderer.State,13,13,20
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,6,5,10
org.jfree.chart.renderer.category.GanttRenderer,170,159,497
org.jfree.chart.renderer.category.GradientBarPainter,91,85,294
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,79,75,279
org.jfree.chart.renderer.category.IntervalBarRenderer,66,58,170
org.jfree.chart.renderer.category.LayeredBarRenderer,111,84,373
org.jfree.chart.renderer.category.LevelRenderer,147,136,348
org.jfree.chart.renderer.category.LineAndShapeRenderer,357,344,714
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,189,182,428
org.jfree.chart.renderer.category.ScatterRenderer,229,226,472
org.jfree.chart.renderer.category.StackedAreaRenderer,118,103,382
org.jfree.chart.renderer.category.StackedBarRenderer,93,87,288
org.jfree.chart.renderer.category.StandardBarPainter,61,56,156
