Complexity metrics,Wed., 19 Oct. 2022 19:19:32 EDT,
Class,OCavg,OCmax,WMC
org.jfree.chart.renderer.xy.XYItemRendererState,1,1,7
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,2.38,15,107
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,1,1,4
org.jfree.chart.renderer.xy.XYShapeRenderer,2.08,12,52
org.jfree.chart.renderer.xy.XYSplineRenderer,3.54,25,46
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,n/a,n/a,0
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,1,1,1
org.jfree.chart.renderer.xy.XYStepAreaRenderer,3.1,27,62
org.jfree.chart.renderer.xy.XYStepRenderer,3.11,14,28
org.jfree.chart.renderer.xy.YIntervalRenderer,2.25,7,18
org.jfree.chart.swing.AbstractOverlay,1.4,3,7
org.jfree.chart.swing.ApplicationFrame,1.12,2,9
org.jfree.chart.swing.ChartFrame,1.33,2,4
org.jfree.chart.swing.ChartMouseEvent,1,1,4
org.jfree.chart.swing.ChartPanel,2.37,18,272
org.jfree.chart.swing.CrosshairOverlay,4.15,10,83
org.jfree.chart.swing.DefaultSelectionZoomStrategy,1.5,5,27
org.jfree.chart.swing.MouseWheelHandler,2.4,5,12
org.jfree.chart.swing.NumberCellRenderer,2,3,4
org.jfree.chart.swing.OverlayChangeEvent,1,1,1
org.jfree.chart.swing.PolarChartPanel,2.57,5,18
org.jfree.chart.swing.UIUtils,1.3,3,13
org.jfree.chart.swing.editor.ChartEditorManager,1,1,4
org.jfree.chart.swing.editor.DefaultAxisEditor,1.65,4,28
org.jfree.chart.swing.editor.DefaultChartEditor,1.38,2,11
org.jfree.chart.swing.editor.DefaultChartEditorFactory,1,1,2
org.jfree.chart.swing.editor.DefaultLogAxisEditor,1.71,2,12
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,1.71,2,12
org.jfree.chart.swing.editor.DefaultPlotEditor,3.94,23,67
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,1.56,3,14
org.jfree.chart.swing.editor.DefaultTitleEditor,1.9,4,19
org.jfree.chart.swing.editor.DefaultValueAxisEditor,1.74,7,33
