Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.axis.AxisLocationTest,2,12,100.00%,0,1,39,0,8,3
org.jfree.chart.axis.AxisSpace,19,118,100.00%,0,1,301,0,34,43
org.jfree.chart.axis.AxisSpaceTest,1,12,100.00%,0,3,53,0,16,3
org.jfree.chart.axis.AxisState,24,74,100.00%,0,3,135,0,16,18
org.jfree.chart.axis.AxisTest,5,36,100.00%,0,2,187,0,45,4
org.jfree.chart.axis.CategoryAnchor,7,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.axis.CategoryAnchorTest,2,12,100.00%,0,1,38,0,9,3
org.jfree.chart.axis.CategoryAxis,76,535,100.00%,0,4,"1,225",2,169,134
org.jfree.chart.axis.CategoryAxisTest,3,33,100.00%,0,3,135,0,27,5
org.jfree.chart.axis.CategoryLabelPosition,9,95,100.00%,0,6,188,0,15,20
org.jfree.chart.axis.CategoryLabelPositionTest,6,12,100.00%,0,3,90,0,10,3
org.jfree.chart.axis.CategoryLabelPositions,10,134,100.00%,0,2,324,0,18,21
org.jfree.chart.axis.CategoryLabelPositionsTest,5,12,100.00%,0,2,120,0,11,3
org.jfree.chart.axis.CategoryLabelWidthType,5,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.axis.CategoryLabelWidthTypeTest,2,12,100.00%,0,1,37,0,8,3
org.jfree.chart.axis.CategoryTick,6,42,100.00%,0,3,92,0,12,11
org.jfree.chart.axis.CategoryTickTest,7,15,100.00%,0,1,84,0,17,4
org.jfree.chart.axis.CompassFormat,2,56,100.00%,0,2,99,0,12,9
org.jfree.chart.axis.CyclicNumberAxis,23,343,100.00%,0,3,962,0,105,120
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,3,17,100.00%,0,0,26,0,2,1
org.jfree.chart.axis.CyclicNumberAxisTest,3,21,100.00%,0,4,79,0,24,4
org.jfree.chart.axis.DateAxis,30,498,100.00%,0,1,"1,487",1,168,153
org.jfree.chart.axis.DateAxis.DefaultTimeline,2,67,100.00%,0,7,110,0,9,11
org.jfree.chart.axis.DateAxisTest,21,167,100.00%,0,8,971,0,111,25
org.jfree.chart.axis.DateAxisTest.MyDateAxis,3,5,50.00%,0,1,15,0,4,2
org.jfree.chart.axis.DateTick,7,42,100.00%,0,1,79,0,11,8
org.jfree.chart.axis.DateTickMarkPosition,3,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.axis.DateTickMarkPositionTest,2,12,100.00%,0,1,39,0,9,3
org.jfree.chart.axis.DateTickTest,5,15,100.00%,0,1,82,0,16,4
org.jfree.chart.axis.DateTickUnit,7,142,100.00%,0,4,274,0,35,32
org.jfree.chart.axis.DateTickUnitTest,3,12,100.00%,0,1,35,0,8,3
org.jfree.chart.axis.DateTickUnitType,4,21,50.00%,0,3,37,n/a,4,2
org.jfree.chart.axis.ExtendedCategoryAxis,11,89,100.00%,0,1,177,0,35,20
org.jfree.chart.axis.ExtendedCategoryAxisTest,3,23,100.00%,0,3,95,0,23,5
org.jfree.chart.axis.LogAxis,22,368,95.00%,0,1,906,0,129,97
org.jfree.chart.axis.LogAxisTest,14,45,100.00%,0,6,203,0,53,12
org.jfree.chart.axis.LogTick,5,19,100.00%,0,1,30,0,3,2
org.jfree.chart.axis.LogarithmicAxis,13,418,100.00%,0,1,902,1,70,114
org.jfree.chart.axis.LogarithmicAxisTest,5,38,70.00%,0,2,145,0,38,10
org.jfree.chart.axis.LogarithmicAxisTest.MyLogarithmicAxis,2,8,50.00%,0,1,17,0,4,2
org.jfree.chart.axis.MarkerAxisBand,8,63,100.00%,0,1,186,0,43,18
org.jfree.chart.axis.MarkerAxisBandTest,2,12,100.00%,0,2,58,0,10,3
org.jfree.chart.axis.ModuloAxis,7,152,100.00%,0,1,358,0,38,40
org.jfree.chart.axis.ModuloAxisTest,4,15,100.00%,0,4,50,0,16,4
org.jfree.chart.axis.MonthDateFormat,2,97,100.00%,0,2,181,0,28,19
org.jfree.chart.axis.MonthDateFormatTest,2,20,100.00%,0,4,87,0,17,4
org.jfree.chart.axis.NumberAxis,76,394,100.00%,0,9,965,4,123,112
org.jfree.chart.axis.NumberAxisTest,16,102,100.00%,0,5,304,0,55,12
org.jfree.chart.axis.NumberTick,11,30,100.00%,0,1,47,1,6,3
org.jfree.chart.axis.NumberTickUnit,17,49,100.00%,0,1,100,0,17,12
org.jfree.chart.axis.NumberTickUnitSource,5,22,25.00%,0,1,174,0,24,39
org.jfree.chart.axis.NumberTickUnitTest,2,15,100.00%,0,4,51,0,12,4
org.jfree.chart.axis.PeriodAxis,24,394,100.00%,0,1,"1,024",0,155,115
org.jfree.chart.axis.PeriodAxisLabelInfo,8,127,100.00%,0,8,266,0,36,26
org.jfree.chart.axis.PeriodAxisLabelInfoTest,6,18,100.00%,0,5,116,0,25,5
org.jfree.chart.axis.PeriodAxisTest,15,39,100.00%,0,7,197,0,58,8
org.jfree.chart.axis.QuarterDateFormat,2,61,100.00%,0,2,130,0,17,12
org.jfree.chart.axis.QuarterDateFormatTest,2,15,100.00%,0,4,72,0,16,4
org.jfree.chart.axis.StandardTickUnitSource,4,45,100.00%,0,1,81,0,13,7
org.jfree.chart.axis.StandardTickUnitSourceTest,2,9,100.00%,0,2,23,0,5,2
org.jfree.chart.axis.SubCategoryAxis,17,130,100.00%,0,1,344,0,69,40
org.jfree.chart.axis.SubCategoryAxisTest,7,23,100.00%,0,5,87,0,28,5
