Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,3,10,100.00%,0,0,19,0,4,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,26,121,100.00%,0,2,325,1,80,32
org.jfree.chart.renderer.xy.XYAreaRenderer2Test,11,29,100.00%,0,7,131,0,40,7
org.jfree.chart.renderer.xy.XYAreaRendererTest,13,28,100.00%,0,7,165,0,44,7
org.jfree.chart.renderer.xy.XYBarPainter,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.xy.XYBarRenderer,40,405,100.00%,0,7,977,2,143,125
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,4,19,100.00%,0,1,31,0,4,3
org.jfree.chart.renderer.xy.XYBarRendererTest,25,55,100.00%,0,9,263,0,74,11
org.jfree.chart.renderer.xy.XYBlockRenderer,21,193,100.00%,0,1,428,0,58,50
org.jfree.chart.renderer.xy.XYBlockRendererTest,11,37,100.00%,0,9,138,0,39,9
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,25,265,100.00%,0,2,660,0,95,65
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest,9,23,100.00%,0,6,99,0,34,6
org.jfree.chart.renderer.xy.XYBubbleRenderer,20,84,100.00%,0,2,258,0,61,30
org.jfree.chart.renderer.xy.XYBubbleRendererTest,10,22,100.00%,0,6,101,0,28,6
org.jfree.chart.renderer.xy.XYDifferenceRenderer,28,315,100.00%,0,4,985,0,107,92
org.jfree.chart.renderer.xy.XYDifferenceRendererTest,11,30,100.00%,0,3,129,0,38,7
org.jfree.chart.renderer.xy.XYDotRenderer,19,132,100.00%,0,2,280,0,55,30
org.jfree.chart.renderer.xy.XYDotRendererTest,11,23,100.00%,0,6,105,0,33,6
org.jfree.chart.renderer.xy.XYErrorRenderer,16,169,100.00%,0,3,358,0,48,35
org.jfree.chart.renderer.xy.XYErrorRendererTest,5,35,100.00%,0,7,123,0,30,9
org.jfree.chart.renderer.xy.XYItemRenderer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,132,n/a
org.jfree.chart.renderer.xy.XYItemRendererState,40,98,100.00%,0,3,129,6,9,7
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,39,486,97.78%,0,3,952,6,122,107
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,9,38,100.00%,0,1,60,2,8,4
org.jfree.chart.renderer.xy.XYLineAndShapeRendererTest,19,31,100.00%,0,8,206,0,64,9
org.jfree.chart.renderer.xy.XYShapeRenderer,24,256,100.00%,0,5,494,0,80,52
org.jfree.chart.renderer.xy.XYShapeRendererTest,8,21,100.00%,0,4,113,0,36,5
org.jfree.chart.renderer.xy.XYSplineRenderer,16,155,92.31%,0,2,373,0,51,46
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,2,7,0.00%,0,2,13,n/a,2,0
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,3,11,100.00%,0,0,20,0,4,1
org.jfree.chart.renderer.xy.XYSplineRendererTest,8,18,100.00%,0,5,75,0,22,5
org.jfree.chart.renderer.xy.XYStepAreaRenderer,19,236,100.00%,0,2,509,0,58,62
org.jfree.chart.renderer.xy.XYStepAreaRendererTest,10,25,100.00%,0,6,111,0,32,6
org.jfree.chart.renderer.xy.XYStepRenderer,21,112,100.00%,0,1,255,0,40,28
org.jfree.chart.renderer.xy.XYStepRendererTest,10,29,100.00%,0,7,128,0,30,7
org.jfree.chart.renderer.xy.YIntervalRenderer,21,100,100.00%,0,2,215,0,52,18
org.jfree.chart.renderer.xy.YIntervalRendererTest,19,25,100.00%,0,5,158,0,47,6
org.jfree.chart.swing.AbstractOverlay,5,34,100.00%,0,1,61,1,12,7
org.jfree.chart.swing.ApplicationFrame,0,52,100.00%,0,7,83,0,13,9
org.jfree.chart.swing.ChartFrame,2,23,100.00%,0,1,43,0,8,4
org.jfree.chart.swing.ChartMouseEvent,5,33,100.00%,0,3,55,0,5,4
org.jfree.chart.swing.ChartMouseListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.swing.ChartPanel,31,"1,141",100.00%,0,7,"2,628",1,336,272
org.jfree.chart.swing.ChartPanelTest,12,79,94.74%,0,7,276,0,71,19
org.jfree.chart.swing.CrosshairOverlay,17,138,90.00%,0,2,505,0,90,83
org.jfree.chart.swing.CrosshairOverlayTest,4,12,100.00%,0,2,43,0,17,3
org.jfree.chart.swing.DefaultSelectionZoomStrategy,3,47,11.11%,0,2,192,0,40,27
org.jfree.chart.swing.MouseWheelHandler,7,39,100.00%,0,1,92,0,22,12
org.jfree.chart.swing.NumberCellRenderer,1,21,100.00%,0,1,45,0,10,4
org.jfree.chart.swing.Overlay,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.swing.OverlayChangeEvent,3,9,100.00%,0,0,13,0,2,1
org.jfree.chart.swing.OverlayChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.PolarChartPanel,5,63,100.00%,0,2,171,0,32,18
org.jfree.chart.swing.SelectionZoomStrategy,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.swing.UIUtils,1,69,90.00%,0,5,138,0,38,13
org.jfree.chart.swing.editor.ChartEditor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorFactory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorManager,6,28,100.00%,0,1,43,0,7,4
org.jfree.chart.swing.editor.DefaultAxisEditor,12,186,100.00%,0,3,386,1,74,28
org.jfree.chart.swing.editor.DefaultChartEditor,11,54,100.00%,0,1,178,0,50,11
org.jfree.chart.swing.editor.DefaultChartEditorFactory,5,13,100.00%,0,1,21,0,3,2
org.jfree.chart.swing.editor.DefaultLogAxisEditor,6,31,85.71%,0,1,104,0,34,12
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,7,19,42.86%,0,1,104,0,42,12
org.jfree.chart.swing.editor.DefaultPlotEditor,18,159,100.00%,0,1,495,1,90,67
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,7,42,77.78%,0,2,140,0,39,14
org.jfree.chart.swing.editor.DefaultTitleEditor,8,62,100.00%,0,1,198,0,57,19
org.jfree.chart.swing.editor.DefaultValueAxisEditor,9,105,100.00%,0,2,314,2,65,33
org.jfree.chart.swing.editor.FontChooserPanel,2,42,100.00%,0,1,143,0,39,15
org.jfree.chart.swing.editor.FontDisplayField,2,30,100.00%,0,1,55,0,11,5
org.jfree.chart.swing.editor.LCBLayout,7,62,100.00%,0,5,202,0,17,28
org.jfree.chart.swing.editor.PaintSample,5,30,100.00%,0,2,64,0,15,5
org.jfree.chart.swing.editor.StrokeChooserPanel,4,26,100.00%,0,1,49,0,16,4
org.jfree.chart.swing.editor.StrokeSample,3,47,100.00%,0,2,105,0,22,8
org.jfree.chart.text.AttributedStringUtils,2,18,100.00%,0,1,56,0,8,9
org.jfree.chart.text.G2TextMeasurer,6,18,100.00%,0,1,32,0,6,2
org.jfree.chart.text.TextAnchor,51,67,80.00%,0,3,117,n/a,10,8
org.jfree.chart.text.TextBlock,17,108,100.00%,0,1,231,0,31,27
org.jfree.chart.text.TextBlockAnchor,12,12,0.00%,0,2,23,n/a,2,0
org.jfree.chart.text.TextBox,9,147,100.00%,0,1,334,0,61,47
org.jfree.chart.text.TextFragment,7,115,100.00%,0,1,226,0,43,28
org.jfree.chart.text.TextLine,8,87,100.00%,0,1,186,0,33,24
org.jfree.chart.text.TextMeasurer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.text.TextUtils,38,280,100.00%,0,3,658,0,89,76
org.jfree.chart.text.format.HMSNumberFormat,1,39,100.00%,0,2,65,0,8,4
org.jfree.chart.text.format.HMSNumberFormatTest,1,3,0.00%,0,1,15,0,4,1
org.jfree.chart.text.format.HexNumberFormat,0,56,100.00%,0,2,97,0,14,9
org.jfree.chart.text.format.LogFormat,2,90,100.00%,0,2,181,0,20,20
org.jfree.chart.text.format.LogFormatTest,3,15,100.00%,0,4,62,0,16,4
org.jfree.chart.text.format.RelativeDateFormat,2,237,100.00%,0,2,457,0,46,46
org.jfree.chart.text.format.RelativeDateFormatTest,1,29,100.00%,0,7,147,0,40,8
org.jfree.chart.title.CompositeTitle,13,91,100.00%,0,2,171,0,40,18
org.jfree.chart.title.CompositeTitleTest,9,22,100.00%,0,3,95,0,31,5
org.jfree.chart.title.DateTitle,7,82,100.00%,0,1,107,0,12,5
org.jfree.chart.title.DateTitleTest,4,15,100.00%,0,4,63,0,19,4
org.jfree.chart.title.ImageTitle,9,119,100.00%,0,1,283,0,49,30
org.jfree.chart.title.ImageTitleTest,0,78,100.00%,0,1,83,0,1,1
org.jfree.chart.title.ShortTextTitle,9,69,100.00%,0,2,178,0,41,24
org.jfree.chart.title.ShortTextTitleTest,4,15,100.00%,0,4,50,0,15,4
org.jfree.chart.title.TextTitle,38,296,100.00%,0,1,730,2,101,99
org.jfree.chart.title.TextTitleTest,4,21,100.00%,0,4,93,0,27,4
org.jfree.chart.title.Title,30,180,100.00%,0,3,340,5,38,36
org.jfree.chart.title.TitleTest,5,10,100.00%,0,2,43,0,11,2
org.jfree.chart.urls.CategoryURLGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.CustomCategoryURLGenerator,4,56,100.00%,0,1,138,0,16,22
org.jfree.chart.urls.CustomCategoryURLGeneratorTest,4,24,100.00%,0,5,100,0,23,5
org.jfree.chart.urls.CustomPieURLGenerator,5,74,100.00%,0,1,157,0,22,20
org.jfree.chart.urls.CustomPieURLGeneratorTest,4,17,100.00%,0,4,60,0,16,4
org.jfree.chart.urls.CustomXYURLGenerator,4,58,100.00%,0,1,141,0,18,22
org.jfree.chart.urls.CustomXYURLGeneratorTest,4,24,100.00%,0,5,100,0,23,5
org.jfree.chart.urls.PieURLGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.StandardCategoryURLGenerator,15,58,100.00%,0,1,136,0,18,16
org.jfree.chart.urls.StandardCategoryURLGeneratorTest,4,16,100.00%,0,4,65,0,14,4
org.jfree.chart.urls.StandardPieURLGenerator,6,47,100.00%,0,1,109,0,13,13
org.jfree.chart.urls.StandardPieURLGeneratorTest,4,16,100.00%,0,4,69,0,14,4
org.jfree.chart.urls.StandardXYURLGenerator,7,47,100.00%,0,1,100,1,8,11
org.jfree.chart.urls.StandardXYURLGeneratorTest,3,10,100.00%,0,2,23,0,6,2
org.jfree.chart.urls.StandardXYZURLGenerator,4,12,100.00%,0,1,19,0,2,1
org.jfree.chart.urls.TimeSeriesURLGenerator,6,58,100.00%,0,1,140,0,22,17
org.jfree.chart.urls.TimeSeriesURLGeneratorTest,4,16,100.00%,0,4,74,0,16,4
org.jfree.chart.urls.XYURLGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.urls.XYZURLGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.util.AttrStringUtils,5,82,37.50%,0,2,256,0,33,32
org.jfree.chart.util.DefaultShadowGenerator,7,91,100.00%,0,1,241,0,30,28
org.jfree.chart.util.DirectionalGradientPaintTransformer,1,42,100.00%,0,1,86,0,16,10
org.jfree.chart.util.ExportUtils,2,64,100.00%,0,4,159,0,24,8
org.jfree.chart.util.GradientPaintTransformType,10,7,0.00%,0,2,13,n/a,2,0
org.jfree.chart.util.GradientPaintTransformer,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.util.PaintAlpha,1,191,100.00%,0,1,309,0,57,27
org.jfree.chart.util.ShadowGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.util.StandardGradientPaintTransformer,19,50,100.00%,0,1,123,0,22,16
org.jfree.chart.util.StringUtils,2,28,100.00%,0,3,52,0,7,6
org.jfree.data.ComparableObjectItem,16,62,100.00%,0,2,114,5,14,13
org.jfree.data.ComparableObjectItemTest,3,22,100.00%,0,5,72,0,17,5
org.jfree.data.ComparableObjectSeries,22,182,100.00%,0,1,380,6,45,50
org.jfree.data.ComparableObjectSeriesTest,5,27,100.00%,0,5,115,0,25,5
org.jfree.data.ComparableObjectSeriesTest.MyComparableObjectSeries,3,12,50.00%,0,2,29,0,8,4
org.jfree.data.DataUtils,13,87,100.00%,0,6,208,0,21,32
org.jfree.data.DataUtilsTest,3,24,100.00%,0,3,173,0,21,7
org.jfree.data.DatasetChangeConfirmation,6,3,0.00%,0,1,10,0,1,1
org.jfree.data.DefaultKeyedValue,6,58,100.00%,0,2,109,0,14,13
org.jfree.data.DefaultKeyedValueTest,3,22,100.00%,0,5,77,0,18,5
org.jfree.data.DefaultKeyedValues,16,175,100.00%,0,1,366,0,52,43
org.jfree.data.DefaultKeyedValues2D,13,217,100.00%,0,1,464,0,55,56
org.jfree.data.DefaultKeyedValues2DTest,4,50,100.00%,0,13,255,0,39,14
org.jfree.data.DefaultKeyedValuesTest,5,85,100.00%,0,16,386,0,48,18
org.jfree.data.DomainInfo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.data.DomainOrder,13,6,0.00%,0,2,11,n/a,2,0
org.jfree.data.DomainOrderTest,2,12,100.00%,0,1,44,0,9,3
org.jfree.data.ItemKey,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.KeyToGroupMap,7,91,92.31%,0,1,245,0,40,34
org.jfree.data.KeyToGroupMapTest,3,53,100.00%,0,8,171,0,23,8
org.jfree.data.KeyedObject,3,44,85.71%,0,2,96,0,11,12
org.jfree.data.KeyedObjectTest,4,19,100.00%,0,4,65,0,15,4
org.jfree.data.KeyedObjects,6,131,100.00%,0,1,274,0,35,37
org.jfree.data.KeyedObjects2D,8,183,100.00%,0,1,421,0,47,56
org.jfree.data.KeyedObjects2DTest,4,50,100.00%,0,11,308,0,33,11
org.jfree.data.KeyedObjectsTest,5,55,100.00%,0,10,271,0,31,10
org.jfree.data.KeyedValue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.KeyedValueComparator,6,32,100.00%,0,1,111,0,11,18
org.jfree.data.KeyedValueComparatorType,2,6,0.00%,0,2,10,n/a,2,0
org.jfree.data.KeyedValues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
org.jfree.data.KeyedValues2D,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
org.jfree.data.KeyedValues2DItemKey,4,34,50.00%,0,1,102,0,16,13
org.jfree.data.KeyedValuesItemKey,2,23,50.00%,0,1,68,0,13,9
org.jfree.data.Range,139,191,95.65%,0,1,383,1,29,50
org.jfree.data.RangeInfo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.data.RangeTest,2,52,100.00%,0,9,261,0,38,13
org.jfree.data.RangeType,3,7,0.00%,0,2,12,n/a,2,0
org.jfree.data.RangeTypeTest,2,12,100.00%,0,1,44,0,9,3
org.jfree.data.UnknownKeyException,20,8,100.00%,0,0,13,0,2,1
org.jfree.data.Value,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.Values,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.data.Values2D,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.data.category.CategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.category.CategoryRangeInfo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.category.CategoryToPieDataset,14,112,100.00%,0,2,258,0,29,39
org.jfree.data.category.CategoryToPieDatasetTest,5,43,100.00%,0,1,152,0,27,6
org.jfree.data.category.DefaultCategoryDataset,41,219,100.00%,0,1,357,1,55,35
org.jfree.data.category.DefaultCategoryDatasetTest,5,54,100.00%,0,14,293,0,39,14
org.jfree.data.category.DefaultIntervalCategoryDataset,10,327,96.97%,0,2,697,0,49,83
org.jfree.data.category.DefaultIntervalCategoryDatasetTest,4,79,100.00%,0,20,376,0,50,20
org.jfree.data.category.IntervalCategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
org.jfree.data.category.SlidingCategoryDataset,7,156,95.00%,0,1,299,0,40,34
org.jfree.data.category.SlidingCategoryDatasetTest,5,33,100.00%,0,9,198,0,33,9
org.jfree.data.flow.DefaultFlowDataset,8,134,94.12%,0,3,301,0,50,42
org.jfree.data.flow.DefaultFlowDatasetTest,3,24,100.00%,0,6,76,0,19,6
org.jfree.data.flow.FlowDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jfree.data.flow.FlowDatasetUtils,5,70,85.71%,0,4,156,0,19,26
org.jfree.data.flow.FlowKey,11,55,87.50%,0,3,116,0,13,14
org.jfree.data.flow.FlowKeyTest,2,12,100.00%,0,3,43,0,11,3
org.jfree.data.flow.NodeKey,9,49,85.71%,0,2,100,0,12,12
org.jfree.data.flow.NodeKeyTest,2,14,100.00%,0,3,45,0,11,3
org.jfree.data.function.Function2D,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.function.LineFunction2D,4,44,100.00%,0,1,83,0,7,9
org.jfree.data.function.LineFunction2DTest,2,16,100.00%,0,4,47,0,13,4
org.jfree.data.function.NormalDistributionFunction2D,3,44,100.00%,0,2,91,0,10,10
org.jfree.data.function.NormalDistributionFunction2DTest,2,16,100.00%,0,4,53,0,13,4
org.jfree.data.function.PolynomialFunction2D,5,44,100.00%,0,1,77,0,11,8
org.jfree.data.function.PolynomialFunction2DTest,2,24,100.00%,0,6,82,0,16,6
org.jfree.data.function.PowerFunction2D,3,44,100.00%,0,1,83,0,8,9
org.jfree.data.function.PowerFunction2DTest,2,16,100.00%,0,4,47,0,13,4
org.jfree.data.gantt.GanttCategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
org.jfree.data.gantt.SlidingGanttCategoryDataset,8,296,100.00%,0,1,571,0,59,61
org.jfree.data.gantt.SlidingGanttCategoryDatasetTest,7,19,100.00%,0,4,118,0,26,6
org.jfree.data.gantt.Task,13,96,93.75%,0,4,185,0,27,22
org.jfree.data.gantt.TaskSeries,11,70,90.91%,0,1,141,0,28,17
org.jfree.data.gantt.TaskSeriesCollection,16,284,97.37%,0,1,587,0,70,64
org.jfree.data.gantt.TaskSeriesCollectionTest,7,109,100.00%,0,10,532,0,76,27
org.jfree.data.gantt.TaskSeriesTest,4,16,100.00%,0,4,67,0,17,4
org.jfree.data.gantt.TaskTest,4,15,100.00%,0,4,68,0,21,4
org.jfree.data.gantt.XYTaskDataset,11,207,77.42%,0,2,399,0,49,44
org.jfree.data.gantt.XYTaskDatasetTest,6,14,100.00%,0,3,80,0,21,3
org.jfree.data.general.AbstractDataset,55,116,100.00%,0,1,179,15,24,16
org.jfree.data.general.AbstractSeriesDataset,11,37,100.00%,0,2,63,3,8,5
org.jfree.data.general.Dataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.data.general.DatasetChangeEvent,34,23,100.00%,0,1,33,0,3,2
org.jfree.data.general.DatasetChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.general.DatasetUtils,63,830,100.00%,0,17,"2,253",0,135,319
org.jfree.data.general.DatasetUtilsTest,33,262,98.46%,0,17,"1,271",0,174,65
org.jfree.data.general.DefaultHeatMapDataset,5,132,100.00%,0,3,264,0,22,32
org.jfree.data.general.DefaultHeatMapDatasetTest,6,22,100.00%,0,2,125,0,27,5
org.jfree.data.general.DefaultKeyedValueDataset,7,63,100.00%,0,1,136,0,19,20
org.jfree.data.general.DefaultKeyedValueDatasetTest,3,17,100.00%,0,4,57,0,14,4
org.jfree.data.general.DefaultKeyedValues2DDataset,3,8,100.00%,0,0,13,0,0,0
org.jfree.data.general.DefaultKeyedValues2DDatasetTest,4,11,100.00%,0,2,34,0,12,2
org.jfree.data.general.DefaultKeyedValuesDataset,3,6,100.00%,0,0,10,0,0,0
org.jfree.data.general.DefaultKeyedValuesDatasetTest,5,10,100.00%,0,2,33,0,10,2
org.jfree.data.general.DefaultPieDataset,25,161,100.00%,0,1,277,1,44,29
org.jfree.data.general.DefaultPieDatasetTest,6,28,100.00%,0,6,119,0,27,7
org.jfree.data.general.DefaultValueDataset,10,43,100.00%,0,1,81,0,14,10
org.jfree.data.general.HeatMapDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
org.jfree.data.general.HeatMapUtils,6,34,100.00%,0,3,75,0,17,7
org.jfree.data.general.IntervalDataItem,1,4,0.00%,0,3,23,0,4,4
org.jfree.data.general.KeyedValueDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.general.KeyedValues2DDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.general.KeyedValuesDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.general.PieDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.general.Series,36,107,100.00%,0,3,182,6,23,19
org.jfree.data.general.SeriesChangeEvent,14,9,100.00%,0,0,15,0,2,1
org.jfree.data.general.SeriesChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.general.SeriesDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.data.general.SeriesException,7,9,100.00%,0,0,15,0,2,1
org.jfree.data.general.TestIntervalCategoryDataset,7,206,85.71%,0,1,391,0,57,43
org.jfree.data.general.TestIntervalXYZDataset,4,12,5.00%,0,7,95,0,21,20
org.jfree.data.general.ValueDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.data.general.WaferMapDataset,5,129,100.00%,0,4,234,0,31,29
org.jfree.data.io.CSV,2,56,100.00%,0,1,140,0,19,16
org.jfree.data.json.JSONUtils,4,50,100.00%,0,2,141,0,17,14
org.jfree.data.json.impl.JSONArray,3,50,100.00%,0,2,116,0,16,13
org.jfree.data.json.impl.JSONAware,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.json.impl.JSONObject,3,68,100.00%,0,2,147,0,24,14
org.jfree.data.json.impl.JSONStreamAware,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.data.json.impl.JSONValue,5,137,100.00%,0,1,287,0,25,40
org.jfree.data.resources.DataPackageResources,0,10,100.00%,0,1,20,0,1,1
org.jfree.data.resources.DataPackageResources_de,0,9,100.00%,0,1,19,0,1,1
org.jfree.data.resources.DataPackageResources_es,0,9,100.00%,0,1,19,0,1,1
org.jfree.data.resources.DataPackageResources_fr,0,9,100.00%,0,1,19,0,1,1
org.jfree.data.resources.DataPackageResources_pl,0,9,100.00%,0,1,19,0,1,1
org.jfree.data.resources.DataPackageResources_ru,0,9,100.00%,0,1,19,0,1,1
org.jfree.data.statistics.BoxAndWhiskerCalculator,5,54,100.00%,0,1,159,0,18,19
org.jfree.data.statistics.BoxAndWhiskerCalculatorTest,2,19,100.00%,0,1,106,0,21,4
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,n/a
org.jfree.data.statistics.BoxAndWhiskerItem,10,103,92.86%,0,9,223,0,19,26
org.jfree.data.statistics.BoxAndWhiskerItemTest,2,9,100.00%,0,2,27,0,6,2
org.jfree.data.statistics.BoxAndWhiskerXYDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,10,421,97.78%,0,1,824,2,81,82
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDatasetTest,6,35,100.00%,0,8,199,0,43,9
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,9,248,96.43%,0,4,478,0,51,49
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDatasetTest,5,24,100.00%,0,6,113,0,38,6
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,10,149,95.00%,0,1,333,0,49,41
org.jfree.data.statistics.DefaultMultiValueCategoryDatasetTest,4,31,100.00%,0,8,175,0,26,8
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,12,264,96.67%,0,1,617,0,62,65
org.jfree.data.statistics.DefaultStatisticalCategoryDatasetTest,5,44,100.00%,0,6,196,0,36,11
org.jfree.data.statistics.HistogramBin,2,50,88.89%,0,2,110,0,12,13
org.jfree.data.statistics.HistogramBinTest,3,12,100.00%,0,3,40,0,10,3
org.jfree.data.statistics.HistogramDataset,9,215,95.45%,0,1,415,0,43,43
org.jfree.data.statistics.HistogramDatasetTest,8,45,100.00%,0,6,179,0,29,11
org.jfree.data.statistics.HistogramType,1,6,0.00%,0,2,11,n/a,2,0
org.jfree.data.statistics.MeanAndStandardDeviation,2,64,88.89%,0,1,126,0,13,15
org.jfree.data.statistics.MeanAndStandardDeviationTest,2,12,100.00%,0,3,40,0,8,3
org.jfree.data.statistics.MultiValueCategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.data.statistics.Regression,4,72,100.00%,0,3,292,0,16,36
org.jfree.data.statistics.RegressionTest,4,44,100.00%,0,2,172,0,18,14
org.jfree.data.statistics.SimpleHistogramBin,4,89,91.67%,0,2,216,0,16,35
org.jfree.data.statistics.SimpleHistogramBinTest,3,19,100.00%,0,5,103,0,19,5
org.jfree.data.statistics.SimpleHistogramDataset,11,229,96.43%,0,4,403,0,51,43
org.jfree.data.statistics.SimpleHistogramDatasetTest,4,19,100.00%,0,5,68,0,22,5
org.jfree.data.statistics.StatisticalCategoryDataset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
org.jfree.data.statistics.Statistics,4,151,100.00%,0,1,379,0,25,46
org.jfree.data.statistics.StatisticsTest,1,61,100.00%,0,11,349,0,28,12
org.jfree.data.time.DateRange,5,68,100.00%,0,2,107,0,16,9
org.jfree.data.time.DateRangeTest,2,16,100.00%,0,4,54,0,13,4
org.jfree.data.time.Day,26,213,95.83%,0,2,389,0,47,31
org.jfree.data.time.DayTest,5,116,85.29%,0,18,457,0,86,35
org.jfree.data.time.DynamicTimeSeriesCollection,14,408,100.00%,0,1,772,0,59,90
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,25,100.00%,0,1,43,0,4,5
org.jfree.data.time.FixedMillisecond,3,114,100.00%,0,2,221,0,20,24
org.jfree.data.time.FixedMillisecondTest,2,16,100.00%,0,4,45,0,16,4
org.jfree.data.time.Hour,11,213,100.00%,0,1,401,0,51,37
org.jfree.data.time.HourTest,5,102,87.10%,0,20,413,0,78,31
org.jfree.data.time.Millisecond,8,183,100.00%,0,1,370,0,46,36
org.jfree.data.time.MillisecondTest,8,90,85.19%,0,18,408,0,83,27
org.jfree.data.time.Minute,12,207,100.00%,0,2,406,0,52,36
org.jfree.data.time.MinuteTest,6,87,85.19%,0,18,388,0,76,27
org.jfree.data.time.Month,12,221,100.00%,0,2,452,0,45,47
org.jfree.data.time.MonthTest,7,116,85.71%,0,18,473,0,81,35
org.jfree.data.time.MovingAverage,11,96,100.00%,0,3,256,0,33,32
org.jfree.data.time.MovingAverageTest,4,13,100.00%,0,1,50,0,11,2
